name	rels	rels?inv
<http://dbpedia.org/resource/Moldova>	32	1722
<http://dbpedia.org/resource/Monaco>	35	483
<http://dbpedia.org/resource/Mongolia>	34	1064
<http://dbpedia.org/resource/Montenegro>	35	1027
<http://dbpedia.org/resource/Morocco>	24	2796
<http://dbpedia.org/resource/Mozambique>	26	580
<http://dbpedia.org/resource/Myanmar>	52	1109
<http://dbpedia.org/resource/Namibia>	33	717
<http://dbpedia.org/resource/Nauru>	27	124
<http://dbpedia.org/resource/Nepal>	42	6177
<http://dbpedia.org/resource/Netherlands>	35	14650
<http://dbpedia.org/resource/New_Caledonia>	33	158
<http://dbpedia.org/resource/New_Zealand>	39	9426
<http://dbpedia.org/resource/Nicaragua>	46	599
<http://dbpedia.org/resource/Niger>	33	534
<http://dbpedia.org/resource/Nigeria>	38	4968
<http://dbpedia.org/resource/North_Korea>	42	787
<http://dbpedia.org/resource/Northern_Mariana_Islands>	35	114
<http://dbpedia.org/resource/Norway>	59	14264
<http://dbpedia.org/resource/Oman>	22	550
<http://dbpedia.org/resource/Pakistan>	54	9787
<http://dbpedia.org/resource/Palau>	46	89
<http://dbpedia.org/resource/Palestinian_territories>	33	461
<http://dbpedia.org/resource/Panama>	29	1449
<http://dbpedia.org/resource/Papua_New_Guinea>	36	1535
<http://dbpedia.org/resource/Paraguay>	32	1296
<http://dbpedia.org/resource/Peru>	35	6357
<http://dbpedia.org/resource/Philippines>	47	10609
<http://dbpedia.org/resource/Poland>	37	66206
<http://dbpedia.org/resource/Portugal>	29	5579
<http://dbpedia.org/resource/Puerto_Rico>	30	2160
<http://dbpedia.org/resource/Qatar>	29	810
<http://dbpedia.org/resource/Republic_of_Ireland>	34	5368
<http://dbpedia.org/resource/Republic_of_Macedonia>	37	1182
<http://dbpedia.org/resource/Republic_of_the_Congo>	34	334
<http://dbpedia.org/resource/Romania>	33	17506
<http://dbpedia.org/resource/Russia>	36	15604
<http://dbpedia.org/resource/Rwanda>	28	429
<http://dbpedia.org/resource/Saint_Kitts_and_Nevis>	37	111
<http://dbpedia.org/resource/Saint_Lucia>	27	174
<http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines>	27	113
<http://dbpedia.org/resource/Samoa>	40	234
<http://dbpedia.org/resource/San_Marino>	24	243
<http://dbpedia.org/resource/Saudi_Arabia>	38	2163
<http://dbpedia.org/resource/Senegal>	45	1058
<http://dbpedia.org/resource/Serbia>	38	7529
<http://dbpedia.org/resource/Seychelles>	34	339
<http://dbpedia.org/resource/Sierra_Leone>	39	706
<http://dbpedia.org/resource/Singapore>	34	3359
<http://dbpedia.org/resource/Sint_Maarten>	26	40
<http://dbpedia.org/resource/Slovakia>	41	2746
<http://dbpedia.org/resource/Slovenia>	34	8177
<http://dbpedia.org/resource/Solomon_Islands>	26	419
<http://dbpedia.org/resource/Somalia>	27	1282
<http://dbpedia.org/resource/South_Africa>	32	9752
<http://dbpedia.org/resource/South_Korea>	36	9604
<http://dbpedia.org/resource/South_Sudan>	29	458
<http://dbpedia.org/resource/Spain>	33	21622
<http://dbpedia.org/resource/Sri_Lanka>	31	6843
<http://dbpedia.org/resource/Sudan>	28	626
<http://dbpedia.org/resource/Suriname>	43	505
<http://dbpedia.org/resource/Swaziland>	30	153
<http://dbpedia.org/resource/Sweden>	38	16531
<http://dbpedia.org/resource/Switzerland>	41	11404
<http://dbpedia.org/resource/Syria>	37	3370
<http://dbpedia.org/resource/São_Tomé_and_Príncipe>	29	125
<http://dbpedia.org/resource/Tajikistan>	37	813
<http://dbpedia.org/resource/Tanzania>	31	1381
<http://dbpedia.org/resource/Thailand>	43	6387
<http://dbpedia.org/resource/The_Bahamas>	29	128
<http://dbpedia.org/resource/The_Gambia>	34	144
<http://dbpedia.org/resource/Togo>	29	861
<http://dbpedia.org/resource/Tonga>	30	156
<http://dbpedia.org/resource/Trinidad_and_Tobago>	38	603
<http://dbpedia.org/resource/Tunisia>	29	1349
<http://dbpedia.org/resource/Turkey>	35	15855
<http://dbpedia.org/resource/Turkmenistan>	28	429
<http://dbpedia.org/resource/Turks_and_Caicos_Islands>	34	46
<http://dbpedia.org/resource/Tuvalu>	37	122
<http://dbpedia.org/resource/Uganda>	2	3198
<http://dbpedia.org/resource/Ukraine>	75	6493
<http://dbpedia.org/resource/United_Arab_Emirates>	30	1648
<http://dbpedia.org/resource/United_Kingdom>	29	75664
<http://dbpedia.org/resource/United_States>	43	218476
<http://dbpedia.org/resource/United_States_Virgin_Islands>	41	229
<http://dbpedia.org/resource/Uruguay>	31	2138
<http://dbpedia.org/resource/Uzbekistan>	36	1120
<http://dbpedia.org/resource/Vanuatu>	28	376
<http://dbpedia.org/resource/Venezuela>	34	3223
<http://dbpedia.org/resource/Vietnam>	27	3305
<http://dbpedia.org/resource/Yemen>	30	1606
<http://dbpedia.org/resource/Zambia>	31	641
<http://dbpedia.org/resource/Zimbabwe>	37	1218
